id,word,original,addtime,hits,username,sex,country,code,langname,pathmp3,pathogg,num_votes,num_positive_votes,rate
248325,dublin,Dublin,7/10/2009 19:27,64687,lordmuggins,m,Ireland,en,English,https://apifree.forvo.com/audio/2321332a3b1i2d3q1g2d2j281l3m33391h1m3m2n3d2b3n3l2k1g2l3l3e3l1o3h2m1i2534272f251m3d371j2p1l2g3e3l3j29363j39393n2q222e3c243o2m3c3q2o37373f382a23262j3g3i1k3d1i36371p24382i2d3n1t1t_2d2o243g3g2c2g33372c2e3d1i1h2h251i252p3p35211t1t,https://apifree.forvo.com/audio/3c2e3h2p3l353l1g1l2q3h1n3f1o3c1k311h2j2f3k272d1n3l28322c321b2l1p2e3b1j1l1h2e2a1k292j3o2a1g2p2f2h27323a2c1i2o373a3q3l3q2a333n31332d3p1g1m2c2g1n25372d381h3d3h1l33333q2f2n2h3n1t1t_251p251f3d3m3f3g1o233n262h2e1h29251p2q3o2g2h1t1t,0,0,0
518472,dublin,Dublin,3/21/2010 11:25,67391,boglin,m,United Kingdom,en,English,https://apifree.forvo.com/audio/2j3a323f3h3a2c242j222k2j2i3j2n3b2h3a3n3q2i1f3b1m3e383n3h372f3n3c3j2o1j3d212q1l2m3l1o3m273e3o3k311g2e272p3c2c3n3d2l25252n32381b2l36271n313q3c2n263a2g222j2o222o382n2m363m37371t1t_1k3922273g351n2m3l3b3f381j2d383k343l3j2p332h1t1t,https://apifree.forvo.com/audio/2d1f3l2b371j361h1g2m3h2i373l1g1j1j352h251o2g3k2q342q321l3e271k353q2j2226313q1p363a2o2l1b38261f3e2g2q1n3c2m21252b3i3g1j28383p2k3l252n2l3b3f2c3e1l1f312k3739372d1p253k33332l211t1t_1k34362h321o2g1b2d233b24223q3a2m2136321i3k3n1t1t,3,2,1
1086765,dublin,Dublin,4/4/2011 19:06,64638,Boreas74,m,Ireland,en,English,https://apifree.forvo.com/audio/3q2f3e2k2e1l331f38273m2n2f3i2o321m2i2l3g1h2j3q2k3n3c283l1l2o353o1i1k1g2l2p25221b261n1j3l1n2c3m1k3o3q2b2d2f3k2l2a3g2b1g3p2g2i382i1b33343637341g343i372b2h2m3d1l2p26382f2h2m3n1t1t_2k1j3i3f3c3g32282l2g242p352k312e2n263a251m2h1t1t,https://apifree.forvo.com/audio/1p2k3m232l2i3l2j25271b2j3i1p1n2o31313o313a3e3o3a1m371f2c26212e3k2a272h3h1o282q3a2a27322d2o2p38362d1m253k1m32381f2p371n2527293n2o3f2i3f232g2m2l2a3i1p2d2n3i3h2q2h3b2i353j3g371t1t_343k3k3o391f392p3l3f3e2k3l3c393h3k1h223p1k211t1t,0,0,0
1356207,dublin,Dublin,12/14/2011 17:26,65557,mishmash,f,Ireland,en,English,https://apifree.forvo.com/audio/38261f331g292p3b3q2j253i2h3838241p1l1m2g322e1m1h231i3b3j1l3h23212f3g1l28222o383i1h2p21291i2k271b3h2k2a221g2d293o2o2f1i3o3i1g2j1j2b3p2a272i2l3a3m2a2e2o2b1h3e2i36233c23391g371t1t_2d2p223n2l24281g2q3g3c343e3b3c3i3o331k1h2e3n1t1t,https://apifree.forvo.com/audio/2i2g3h3p2i2g3j382n3h2i1n3g1b3b1j21212a24371k372438352e2n3h3823382m3b2e291j1m3d26221h3d233b27281i341l283e282o2i3o2b2i3q3m2l1k1n1m3l1j1h1j3h3p1g263d3i3p1j1i2b38361b2g2p22272h1t1t_3g3d2f2b323l3p3k1b1i233q2p1m2h3h3a3l3e2i1k371t1t,1,1,1
1492219,dublin,Dublin,3/31/2012 14:27,64515,deanemj,m,United States,en,English,https://apifree.forvo.com/audio/3b292h383437331n1f1i2g272e261o36212d3i3f3p1b1k223d3e3q321o2g1f2o1m331l3l3g313a3l2e2q2h343i263b1h2c2c2b3n3o2c242d311g29293c2d3o2a1i343g1i2k1n2p351o2727283n2l3p1j2o2f33223c211t1t_1g1f2k2a1o2d2a29361j292o39373k1o2c273n3q3m3n1t1t,https://apifree.forvo.com/audio/25343j1n2l1b3n3k3k1b392e2g2o323e3d1g352n2j3q1p2o231o3f2h3b3m251g2o1h3c2d2f3c3g3j1o221o371f2d3k1j1h3p1f1b323j1f313p2j3c382b1k3g373d2a373g383q3m1g2327223m2n3d3h3d2e2q1m3h3l211t1t_3434371i3k2k2c2i2b3j2g3b351o31253o3d2g353e211t1t,0,0,0
1572263,dublin,Dublin,5/19/2012 16:56,64701,Mollydub,f,Ireland,en,English,https://apifree.forvo.com/audio/3g3p3c2n2p1o293q2f3f25233f2a1g3o2o293o2k2a1k2m1m253f28322p1o313q2j3i3c353g2b2b3i2p382f363q313e3922321k291h2m2c1n3n2g3q362k3f3j2n3o1h1l232o281m2p2e291p3c36343f2l333a1f3734211t1t_3i3e2i1p253g1b292i1m1n251f391l2i1l3h2a27312h1t1t,https://apifree.forvo.com/audio/2l342l3o25253a1n2p2j3f25223p213e3m2b38241p2a1g3232323c1p3a1p2j3g3m2i2d33382o1i3a3j3q1f272p1p1m26333o3k222n2g2o2e3q213i2i1n381m25261p1p1m1o253n1m242q3224392j1n1k38393i2f3h211t1t_2g253c3l1g342b2m3d3o1h393p2g2b351k3e322o2o2h1t1t,0,0,0
1621178,dublin,Dublin,6/11/2012 3:07,64703,marcet,f,United States,en,English,https://apifree.forvo.com/audio/3f33253n232d3q1i36313l3f1p3j3l223j26243g2m211f332f2j331o2e262o212p3c323e1b2q1j293c3526221h2h3h3b3d3n1h3a22262a3f1k28393e252o2n282p342p331g1j2c3e3a2l391o2f3l283l3m3d2i262e3n1t1t_2d2j1j351g3e1h3h2m273m2a3p3p2d32223p2k3j3k211t1t,https://apifree.forvo.com/audio/343g3q1i1f2938373g39272a3k2f3n2i3f393i3q2h3o232f1g1l3h31271g1g2p3e283e1l1n1k332m381p2p2831281l2e3f2126323c293o2d1h2g3f2l2a2a1n342f3e1i291i3q2f22273k2c3338291h3f252l2m3n3e3n1t1t_333f3a2j3m2l3l292k3e3d1g3l2e1i2n2m2i2j3a3k371t1t,0,0,0
1783157,dublin,Dublin,10/13/2012 7:21,64811,NatalieHodge,f,Canada,en,English,https://apifree.forvo.com/audio/2c312g323p342e3f3d3d2d223m1n3m3k37251k3o3239392p1i3i2p3d3335242536362q21251m35371k282j3a3h2f3f373n27311j1n3c2n3a2l311g1j2o1k212k282d3n2f1k3g312i3n1j1f383g1f1m3a1n351k262q2h1t1t_3g1m283d1o271b1l252q3n1n3g3b362g1i1j3h3j3n211t1t,https://apifree.forvo.com/audio/2g232p22322q3d331m3c3e3b3i1l3p3h3g2i3i3a3l3n2b222j3c3m1i1m3l3k3k2d3i3j2f1k2g2a3b2323211h2p342g2j372j3b2m2e2d2i1j3e3a3c2a3k1h213d3a341k2b32383l222q1g1k3d1j262i33291h2a2k2g211t1t_1o3q36392d1o2e312p212p2f1h3i352l293m1i1i39371t1t,2,0,-2
2037845,dublin,Dublin,3/7/2013 13:58,67626,Dublin,m,Ireland,en,English,https://apifree.forvo.com/audio/3b3h3721311p1b3p1o342j3i3k2k383k2o2l1k2239243f39342i1f2m3k1o3l231l1m1b262l392e3p27363e3m2b2p3h1m2i3a3j1g1g261i232o3h1l1h1p2j3e2g2i2f2k3b2l242m2n2l273f333f36383j3a3g3g2134371t1t_3o3p2f3f2g283j282m2p3d2n3d3e3a1l2o1p233o3a3n1t1t,https://apifree.forvo.com/audio/232c3k2l3b3b282j3o3k2d1m3n1i313f3c3q3d1f3e1g2a3g3h1i3c3q26362l2j2c3g3h2c251f3l382n1m31283m2g2a332h3e2d313b1o381o2d1j392m1k1k363p1l2328233c3a3h31363m1g273p3k2i3a2g3234391k211t1t_3q1g3m332h26313b2o2j2c37211o282q1p2f3b392o3n1t1t,1,1,1
2055086,dublin,Dublin,3/29/2013 2:27,72098,Caitria,f,Ireland,en,English,https://apifree.forvo.com/audio/382j3l1h1j24233o3q2d2h342o3p2g3p2j2k342e392p311g322c383b3b2l343b34313o1j3d1p3j3o333o1m1o1l391h1p343m3q242m323n2b311n1k2m1l373p2d_2d2j2n1b1g261i312a3p2536292d3l2l392k21333a3n1t1t,https://apifree.forvo.com/audio/3o352p2526211m363j3e3m292c321h1b2h1l3l3o2g3p3f212m1p2b223n2j282a1f1h1b3f2f3e2k262i233j3k2e2k1i2i3p3o3n3l2f1m3i1k1o3c343a211g3q3m_3i1l392o292d382c2h3f361g3e2j3e2i3m232p2h1k2h1t1t,3,3,3
3130667,dublin,Dublin,8/10/2014 22:14,823103,JessicaMS,f,United States,en,English,https://apifree.forvo.com/audio/281o3p3l241k2921373p3e261f2k372i1b3n3b1m3d3133383a1n29383e34251o2f1p2a392a252m1h2a1m2b1k273m372g393c311g3g253o1l253d311p2c381j1j_3g3f2l1n3o262d2m222p2b1i312m3h2m2j2k3e2a3j3n1t1t,https://apifree.forvo.com/audio/1n2q3j3e3b1g2l2k3o241i1k1i2l2o3a2m262g23321j2h2l3225293833362h223c2c25232h2c2p3a3p333p3i393o1o1g2i2a1i3k232l243m3p343534313e352k_3h3o2n1f1p1i2l3d2p252i342621282m283d2f3i2j3n1t1t,0,0,0
3677476,dublin,Dublin,6/13/2015 1:31,57774,maggiesimon,f,United States,en,English,https://apifree.forvo.com/audio/2d3e262e2d3e1n1g1i2g1o1j3c3d393m223g2n3l232e1o3n231h1m1b1l363l2i3q1f2b352g1n1o1b31363l2c292k2e3e27281i3j3j1o1l333g381g3b3b3m2c3k_342e25282b233h221n272l3k1h3d233h292g2m2g392h1t1t,https://apifree.forvo.com/audio/2l3k2g1p292b313k2k2l2d391f1m3f3e331g2m3g392k2i1i2a3o312n1m3i2g1g283e211f2a3a291l281p1k2k272n3i3a1g1l2o3n362g33211i3l1f3b2o2p3k24_2n313q1j3q372438243n381o1l1m331j392q2d1i3j3n1t1t,0,0,0
7439,edinburgh,Edinburgh,4/14/2008 15:24,14110,Lesley,f,United Kingdom,en,English,https://apifree.forvo.com/audio/2e2n2f22321f2h3c2p1i3p2b1b2g281h1m2j251k3j1f263h272b223b283c2p3d3f3j2q2i3j3l3p36311f3c1f3728212m3k2q1i3m2m3i2o1i1i2g27211g3i352m_262a29392l2k2d1f2d3d263h3k1i2128293p3d2i243n1t1t,https://apifree.forvo.com/audio/3o2i35311f371h1g26312e2n2m1g1f2p1j3h383k1n1o2932313g1m313j1g28291o2m2f272a292i2i291f2b263m1j3c2n1b333b26352f333q1p3a2d213c3i2n3j_2p2h3g3c2l332l362h1k1i3d212m273q3k323o281b2h1t1t,9,4,-1
63141,edinburgh,Edinburgh,11/18/2008 22:29,36352,Hazelnutzz,f,United Kingdom,en,English,https://apifree.forvo.com/audio/3j3l2n3p2c1l2d3q2a2738313n1p1p3c2d34323q3539213a312c3a26353m3i391n212j2m2g26263a282n3e2i2o2h3425393l342c1i3g1j3f283k3i1f2d3g1g2e1i3p3i2n3h313k1k2g38373d2d3e2b38261b1o1j313n1t1t_3o1p311o3q2d293h3h2o241i313a1m2l1f3f2l1g1p3n1t1t,https://apifree.forvo.com/audio/3l322g2j282d2j393p3h272j2i3d2i313g2j2j1h2f3n3f3f283a1p1g28292h1i373q2l3c3c252j3o2a333c1p1g1g3f3e342e2l2p2m322h232a2l392b212m1o2n3o3f1o1l1k3b1b252p241p3b2q352g261h3g3e2836371t1t_1j2834261l222l1n361o2a1g2p281f3c3l281m2l222h1t1t,29,25,21
289113,edinburgh,Edinburgh,8/26/2009 19:18,13709,MarcCapa,m,United Kingdom,en,English,https://apifree.forvo.com/audio/3i362f1h213f2l1n27361f2b2g1m383q343n2e1i3c241j1n1p1n3i3l2f1i2p1k2d3i1b363p36333l341o393d342n1l1l213n2m36261b33282g1l392e1h29263p1g2b3k3o262k2n1h3d3l3h3d322f1n36362n313b352h1t1t_1o1k34281n3i1l3m2d36273j223b331n241p3q1o352h1t1t,https://apifree.forvo.com/audio/26391l252k3j3q24343h2a2p3i2b2j3a342k243e343e363a3g3p333p293l1n3e3e3n223k223l1p1l312p3q2q2m3j2j3f2m2c2p21372m2m213k2e333g1j1b3i3d3e2q3g222k373m1m221n293h1m1g24383e1j3a1i3n211t1t_2d3c242n3k1j2a36332p1h2a2e371i263n313n271i3n1t1t,5,2,-1
368020,edinburgh,Edinburgh,11/10/2009 0:00,13623,robcassell,m,United Kingdom,en,English,https://apifree.forvo.com/audio/3c3n1l3i3e26343i3e383c1o313j1n3f351p3o223n3j382p373p3k2g1b1p1o2k273h2o2k2h2m373o212n3c2j2l38242e1h1n221h24263d332f281b3q3d2e23373b2p3k1o3m2m321g1p2d1o362p1o352f3e3b1p2c2m2h1t1t_2l3c3p3l342n373e2c3e3c3f3m2l381h252l253k1h211t1t,https://apifree.forvo.com/audio/3d2q2k1p2f332l2o353p313f2b1k331b3a1f253b322k3n3j1h342k3m2m2e3l3m1g2f2o2a2i2n3h2o1o1m2m1l3b3c3j243l1f311i3d2h3i1n233n3m232k1i342g322n3o3l2b293l383p233h2738313q2p382n3m1f2l371t1t_3b31383h3m282p2q1l2c1i3c382l3j2p2g222h2b3k2h1t1t,3,1,-1
377522,edinburgh,Edinburgh,11/24/2009 21:01,16561,GeoNeil,m,United Kingdom,en,English,https://apifree.forvo.com/audio/3a1l28291p26363i3e3g3k1n1j3g233j1j1l281o2c2k343k2c1h3221293b1k1f2n273b1h231f2o1h362p282j1h252327371o3p1o3j2j393h2c291m32242l1l3525212j361o1p2k2k2a243m2i1j3e38283j1l3b1h1h371t1t_2226383p2k372p2m3e3f1b3j343d253p243h2c3g3c3n1t1t,https://apifree.forvo.com/audio/393f383a1o332q2d1g1i3a1f2f221p2q1o323k2h2c2d3f32221f362l2o1n1i1b2n1o3p3k2p2o2j2h373a3k3p243f1n2n2f1i3126212q2i1b1l32362j2q2j3j3d3n1f3p1j252g263k2c2f272427373e3k1p33373f2m211t1t_2n2g3l2p3m1i3e3l2m313o1k2g2d311l3c2l223k36211t1t,4,2,0
730682,edinburgh,Edinburgh,8/20/2010 7:22,18290,alkessle,m,United States,en,English,https://apifree.forvo.com/audio/3a281l1g2o3d363q223g3d3g1i2h3h3e263a2q1l3d3d2j3m2d2b2n38362c1m1b3n2c1g37311k3k3n1o3o3i392l2h3k3g3j1f1n393j2h2j2m3g2i2j291b3a2e3i3g2o393l2g361g2q332h2a341l1b3i341i3g3a3b253n1t1t_312e243m1m3j3l2n35281i2h2p3k1g223k2n353537371t1t,https://apifree.forvo.com/audio/2k2c3j3o2a392j311i371n3l2m361o273b223q3e39241h3o3b3i3k3h332322332m3h3c3j283o3l3i2e2c1i252h2i2h2k382i3o393g3k3b221o3f2q263k35322n2p1o26391j3p3h2f242n232g1n2d351f3g3f221k39211t1t_3d1m3m3i27262c3l361l27263b243m2p272g1k2i2o2h1t1t,9,5,1
766710,edinburgh,Edinburgh,9/10/2010 23:05,17645,adagio,m,United Kingdom,en,English,https://apifree.forvo.com/audio/312935381b2m3q373m3c2n3i2m2q3q1j2p2o1n23271m373i311i391g362e263f331n3a2l2i2a2q1f1i1p1g3o1n1i3i1g2136221p2d311k3b2n3b262n3a1b3i23352e3h292m252m312d2o2i2p3q3n1n273n2p3m2l3c211t1t_22292d2e3g2i3f1o3k231l3m28322o3o3a26292k39371t1t,https://apifree.forvo.com/audio/2e2l2k3n1o3n2n3c2c2e28321i3828322g29331p1n383h3f39393p2k233p2c35293m2l3m3h352g3c2o2f241j1h2b3b3p3i3e2a3925322b3j272e25273m3d243q3l3p2b1p1j2g1m2o2c3a271m1j2n372d2a1f3e1m393n1t1t_1l2f222g2n2l2n3a322j3o2h36313p1b1p3o3p23283n1t1t,7,4,1
